fuente;tabla;columna;n_registros;n_vacios;n_marcadores_nulo;n_ceros;n_guiones;n_faltantes_csv;n_presentes;porcentaje_faltantes;interpretacion
SNIG;DatosGenerales;ActividadCodigo;103543;0;0;150;101163;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;GiroCodigo;103543;0;0;0;3846;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;NaturalezaJuridicaCodigo;103543;0;0;411;0;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;EstratoCodigo;103543;0;0;0;0;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;Superficie;103543;0;0;12174;0;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;UnidadesGanaderas;103543;0;0;25311;0;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;SuperficieGanadera;103543;0;0;12505;0;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;CantidadTenedores;103543;0;0;0;0;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;EspecializacionMGAPCodigo;103543;54919;0;0;0;54919;48624;53,0398;"Vacíos contabilizados; el metadato 2025 no documenta su disponibilidad en cada ejercicio."
SNIG;DatosGenerales;TipoProduccionMGAPCodigo;103543;54919;0;0;0;54919;48624;53,0398;"Vacíos contabilizados; el metadato 2025 no documenta su disponibilidad en cada ejercicio."
