fuente;tabla;archivo_datos;orden_columna;columna;variable_original;representa;unidad_o_codificacion;origen;limitantes_metadato;notas_metadato;observacion_paa;fuente_definicion;estado_definicion
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;11;Superficie;Superficie;Superficie total declarada.Se calcula como la suma de las hectáreas según tenencia salvo cuando esta es cero, que se utiliza la suma de los usos;Hectáreas (SuperficieGanadera remite a Superficie);Declaración Jurada Formulario A1;Puede haber diferencias en algunos casos entre la superficie total y el desglose de superficies por tenencia y uso del suelo;;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;12;UnidadesGanaderas;UnidadesGanaderas;Unidades ganaderas totales del establecimiento incluyendo bovinos de carne y leche, ovinos y equinos.;Unidades ganaderas;Calculado SNIG a partir de Declaración Jurada Formulario A1, A3 y A5 y factores de conversión establecidos por DIEA;Hay casos aislados de establecimientos que declaran animales y no declaran superficie;Los valores utilizados para la conversión se encuentran en la tabla “Categorías”;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;13;SuperficieGanadera;SuperficieGanadera;Superficie total, excluyendo tierras de labranza, huertas, frutales y viñedos, y el 70% de montes artificiales;Hectáreas (SuperficieGanadera remite a Superficie);Calculado SNIG a partir de Declaración Jurada Formulario A1;Ver superficie total;;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;14;CantidadTenedores;CantidadTenedores;Cantidad de números de Dicose que emitieron una Declaración Jurada;Cantidad de tenedores/productores según definición;Declaración Jurada;No hay;Incluye declarantes de todas las actividades;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;15;EspecializacionMGAPCodigo;EspecializacionMGAPCodigo;En función del giro y el uso del suelo se establece si se trata de un Productor lechero, Agricola ganadero o Ganadero;"Código; no es una magnitud continua";Decalración Jurada;;Los criterios son establecidos por la DIEA;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;16;TipoProduccionMGAPCodigo;TipoProduccionMGAPCodigo;En función de la cantidad de animales por categoria se establece si se trata de un productor Ciclo completo, Invernador. Criador, Recriador, etc.;"Código; no es una magnitud continua";Decalración Jurada;;Los criterios son establecidos por la DIEA;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;1;ID;ID;"Identificador técnico de la fila generado por el ETL; no identifica por sí solo un establecimiento.";Identificador;ETL del proyecto de ingeniería;;;;scripts/etl_snig_datos.py;"Derivada; documentada en código"
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;2;Anio;Ejercicio;Ejercicio ganadera al que corresponde la declaración;Ejercicio ganadero;Declaración Jurada Formulario A1;No hay;;"Ejercicio ganadero, renombrado Anio por el ETL; no asumir año calendario climático.";data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv | scripts/etl_snig_datos.py (renombre);Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;3;DepartamentoCodigo;DepartamentoCodigo;Departamento en el que se encuentra registrado el tenedor;"Código; no es una magnitud continua";Registro de Tenedores de ganado;Pueden aparecen en algunos casos inconsistencias con el departamento del área de enumeración en la que está clasificado el establecimiento;;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;4;SeccionalPolicialCodigo;SeccionalPolicialCodigo;Seccional policial en la cual se encuentra registrado el tenedor;"Código; no es una magnitud continua";Registro de Tenedores de ganado;;;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;5;AreaSupervision;AreaSupervision;Área de Supervisión en la que se encuentra el establecimiento en función de los padrones declarados. Cuando pertenece a varias se considera la de mayor área;"Código; no es una magnitud continua";Ver área de enumeración;Ver área de enumeración;Ver área de enumeración;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;6;AreaEnumeracion;AreaEnumeracion;Área de enumeración en la que se encuentra el establecimiento en función de los padrones declarados. Cuando pertenece a varias se considera la de mayor área;"Código; no es una magnitud continua";Calculado a partir de la Declaración Jurada formulario A1, el mapa de áreas de enumeración de DIEA y el catastro rural de la DGCN;No todos los productores declaran padrones, no todos los padrones están en el catastro rural. En algunos casos los padrones declarados se encuentran según el catastro rural en seccionales o departamentos diferentes al que se encuentra registrado el tenedor.;"En el mapa de tenedores con campo se incluye un contador ""sin AAEE"" indicando los establecimientos que no pudieron ser clasificados";"El código 0 se conserva y no se cuenta como faltante; no se presupone que sea un agregado.";data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;7;ActividadCodigo;ActividadCodigo;La actividad se extrae del tercer y cuarto dígito del número de Dicose del declarante en función de los criterios establecidos en el momento de su asignación.;"Código; no es una magnitud continua";Declaración Jurada;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado.;Cuenta con una tabla de códigos ?Actividades?;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;8;GiroCodigo;GiroCodigo;Giro principal declarado. Se utiliza para discriminar las diferentes clases de Tenedores sin Campo;"Código; no es una magnitud continua";Declaración Jurada Formulario A1;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado;Cuenta con una tabla de códigos ?Giros?;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;9;NaturalezaJuridicaCodigo;NaturalezaJuridicaCodigo;Naturaleza jurídica con la que se encuentra registrada la empresa titular del Dicose en el registro de tenedores de ganado;"Código; no es una magnitud continua";Registro de tenedores de ganado;Hay casos aislados sin actualizar;Cuenta con una tabla de códigos ?Naturalezas Jurídicas?;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;10;EstratoCodigo;EstratoCodigo;Estrato de superficie al que pertenece el establecimiento según la superficie declarada. Los datos de lechería consideran animales PD y PF por lo que se incluye el estrato 0) que permite visualizar productores lecheros sin campo.;"Código; no es una magnitud continua";Calculado SNIG a partir de Declaración Jurada Formulario A1;No todos los productores declaran la superficie utilizada, por lo que puede haber animales en establecimientos de estrato 0;Cuenta con una tabla de códigos ?Estratos?;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;11;EspecieCodigo;EspecieCodigo;Especie de los animales;"Código; no es una magnitud continua";Declaración Jurada Formularios A1, A3,A4,A5 y A6;Las existencias de Suinos, Caprinos y Yeguarizos se incluyen a modo de referencia ya que no se han hecho controles de calidad sobre las mismas;Cuenta con una tabla de códigos ?Especies?;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;12;AnimalesPorEspecieConsumoPD_AD;AnimalesPorEspecieConsumoPD_AD;Cantidad de cabezas declaradas como consumo por especie;Cabezas / animales;Declaración Jurada Formulario A1;No hay;;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;13;AnimalesPorEspecieNacimientosPD_AD;AnimalesPorEspecieNacimientosPD_AD;Cantidad de nacimientos declarados por especie;Cabezas / animales;Declaración Jurada Formulario A1;No hay;El dato está disponible solo para bovinos;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;14;AnimalesPorEspecieMortandadPD_AD;AnimalesPorEspecieMortandadPD_AD;Cantidad de cabezas declaradas como Mortandad por especie;Cabezas / animales;Declaración Jurada Formularios A1, A3,A4,A5 y A6;No hay;;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;15;CantidadTenedoresPorEspecie;CantidadTenedoresPorEspecie;Cantidad de productores por especie;Cantidad de tenedores/productores según definición;Declaración Jurada Formularios A1, A3,A4,A5 y A6;No hay;;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;16;AnimalesPorEspeciePD_AD;AnimalesPorEspeciePD_AD;Suma de animales propios dentro y ajenos dentro por especie;Cabezas / animales;Declaración Jurada Formularios A1, A3,A4,A5 y A6;Hay casos aislados de animales dentro de establecimientos sin tierra declarada;La suma de animales propios dentro y ajenos dentro es la que se ha utilizado tradicionalmente por Dicose;"Propios dentro + ajenos dentro; no es un momento temporal.";data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;17;AnimalesPorEspeciePD_PF;AnimalesPorEspeciePD_PF;Suma de animales propios dentro y propios fuera por especie;Cabezas / animales;Declaración Jurada Formularios A1, A3,A4,A5 y A6;La cantidad de animales propios fuera no coincide con los ajenos dentro, lo que ocasiona que el total de existencias pueda variar según el criterio adoptado;Se utiliza para medir las existencias de ganado asociada a la producción lechera;"Propios dentro + propios fuera; no es un momento temporal.";data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;18;EspecializacionMGAPCodigo;EspecializacionMGAPCodigo;En función del giro y el uso del suelo se establece si se trata de un Productor lechero, Agricola ganadero o Ganadero;"Código; no es una magnitud continua";Decalración Jurada;;Los criterios son establecidos por la DIEA;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimales;data/processed/SNIG/DatosAnimales.csv;19;TipoProduccionMGAPCodigo;TipoProduccionMGAPCodigo;En función de la cantidad de animales por categoria se establece si se trata de un productor Ciclo completo, Invernador. Criador, Recriador, etc.;"Código; no es una magnitud continua";Decalración Jurada;;Los criterios son establecidos por la DIEA;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimales.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;1;ID;ID;"Identificador técnico de la fila generado por el ETL; no identifica por sí solo un establecimiento.";Identificador;ETL del proyecto de ingeniería;;;;scripts/etl_snig_datos.py;"Derivada; documentada en código"
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;2;Anio;Ejercicio;Ejercicio ganadera al que corresponde la declaración;Ejercicio ganadero;Declaración Jurada Formulario A1;No hay;;"Ejercicio ganadero, renombrado Anio por el ETL; no asumir año calendario climático.";data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv | scripts/etl_snig_datos.py (renombre);Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;3;DepartamentoCodigo;DepartamentoCodigo;Departamento en el que se encuentra registrado el tenedor;"Código; no es una magnitud continua";Registro de Tenedores de ganado;Pueden aparecen en algunos casos inconsistencias con el departamento del área de enumeración en la que está clasificado el establecimiento;;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;4;SeccionalPolicialCodigo;SeccionalPolicialCodigo;Seccional policial en la cual se encuentra registrado el tenedor;"Código; no es una magnitud continua";Registro de Tenedores de ganado;;;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;5;AreaSupervision;AreaSupervision;Área de Supervisión en la que se encuentra el establecimiento en función de los padrones declarados. Cuando pertenece a varias se considera la de mayor área;"Código; no es una magnitud continua";Ver área de enumeración;Ver área de enumeración;Ver área de enumeración;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;6;AreaEnumeracion;AreaEnumeracion;Área de enumeración en la que se encuentra el establecimiento en función de los padrones declarados. Cuando pertenece a varias se considera la de mayor área;"Código; no es una magnitud continua";Calculado a partir de la Declaración Jurada formulario A1, el mapa de áreas de enumeración de DIEA y el catastro rural de la DGCN;No todos los productores declaran padrones, no todos los padrones están en el catastro rural. En algunos casos los padrones declarados se encuentran según el catastro rural en seccionales o departamentos diferentes al que se encuentra registrado el tenedor.;"En el mapa de tenedores con campo se incluye un contador ""sin AAEE"" indicando los establecimientos que no pudieron ser clasificados";"El código 0 se conserva y no se cuenta como faltante; no se presupone que sea un agregado.";data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;7;ActividadCodigo;ActividadCodigo;La actividad se extrae del tercer y cuarto dígito del número de Dicose del declarante en función de los criterios establecidos en el momento de su asignación.;"Código; no es una magnitud continua";Declaración Jurada;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado.;Cuenta con una tabla de códigos “Actividades”;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;8;GiroCodigo;GiroCodigo;Giro principal declarado. Se utiliza para discriminar las diferentes clases de Tenedores sin Campo;"Código; no es una magnitud continua";Declaración Jurada Formulario A1;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado;Cuenta con una tabla de códigos “Giros”;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;9;NaturalezaJuridicaCodigo;NaturalezaJuridicaCodigo;Naturaleza jurídica con la que se encuentra registrada la empresa titular del Dicose en el registro de tenedores de ganado;"Código; no es una magnitud continua";Registro de tenedores de ganado;Hay casos aislados sin actualizar;Cuenta con una tabla de códigos “Naturalezas Jurídicas”;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;10;EstratoCodigo;EstratoCodigo;Estrato de superficie al que pertenece el establecimiento según la superficie declarada. Los datos de lechería consideran animales PD y PF por lo que se incluye el estrato 0) que permite visualizar productores lecheros sin campo.;"Código; no es una magnitud continua";Calculado SNIG a partir de Declaración Jurada Formulario A1;No todos los productores declaran la superficie utilizada, por lo que puede haber animales en establecimientos de estrato 0;Cuenta con una tabla de códigos “Estratos”;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;11;EspecieCodigo;EspecieCodigo;Especie de los animales;"Código; no es una magnitud continua";Declaración Jurada Formularios A1, A3,A4,A5 y A6;Las existencias de Suinos, Caprinos y Yeguarizos se incluyen a modo de referencia ya que no se han hecho controles de calidad sobre las mismas;Cuenta con una tabla de códigos “Especies”;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;12;CategoriaCodigo;CategoriaCodigo;Categoría de animal;"Código; no es una magnitud continua";Declaración Jurada Formularios A1,A3,A4,A5 y A6;Se han identificado algunos casos de inconsistencias entre el desglose de ganado lechero por categorias del A3 y el total de bovinos en el establecimiento que figuran en el A1;Cuenta con una tabla de códigos “Categorías”;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;13;AnimalesPorCategoriaPD_AD;AnimalesPorCategoriaPD_AD;Suma de cantidad de animales Propios y Ajenos declarados dentro del establecimiento por categoría;Cabezas / animales;Declaración Jurada Formularios A1,A3,A4,A5 y A6;Hay casos aislados de animales dentro de establecimientos sin tierra declarada;La suma de animales propios dentro y ajenos dentro es la que se ha utilizado tradicionalmente por Dicose;"Propios dentro + ajenos dentro; no es un momento temporal.";data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;14;AnimalesPorCategoriaPD_PF;AnimalesPorCategoriaPD_PF;Suma de cantidad de animales Propios declarados dentro o fuera del establecimiento por categoría;Cabezas / animales;Declaración Jurada Formularios A1,A3,A4,A5 y A6;La cantidad de animales propios fuera no coincide con los ajenos dentro, lo que ocasiona que el total de existencias pueda variar según el criterio adoptado;;"Propios dentro + propios fuera; no es un momento temporal.";data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;15;EspecializacionMGAPCodigo;EspecializacionMGAPCodigo;En función del giro y el uso del suelo se establece si se trata de un Productor lechero, Agricola ganadero o Ganadero;"Código; no es una magnitud continua";Decalración Jurada;;Los criterios son establecidos por la DIEA;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;DatosAnimalesDetallados;data/processed/SNIG/DatosAnimalesDetallados.csv;16;TipoProduccionMGAPCodigo;TipoProduccionMGAPCodigo;En función de la cantidad de animales por categoria se establece si se trata de un productor Ciclo completo, Invernador. Criador, Recriador, etc.;"Código; no es una magnitud continua";Decalración Jurada;;Los criterios son establecidos por la DIEA;;data/raw/SNIG/2025/metadatos/Metadatos/datosanimalesdetallados.csv;Documentada en metadatos
SNIG;Departamentos;data/processed/SNIG/Catalogos/Departamentos.csv;1;DepartamentoCodigo;DepartamentoCodigo;Código del departamento;"Código; no es una magnitud continua";Tabla de departamentos;;;;data/raw/SNIG/2025/metadatos/Metadatos/departamentos.csv;Documentada en metadatos
SNIG;Departamentos;data/processed/SNIG/Catalogos/Departamentos.csv;2;DepartamentoDescripcion;DepartamentoDescripcion;Descripción del departamento;Texto descriptivo;Tabla de departamentos;;;;data/raw/SNIG/2025/metadatos/Metadatos/departamentos.csv;Documentada en metadatos
SNIG;Actividades;data/processed/SNIG/Catalogos/Actividades.csv;1;ActividadCodigo;ActividadCodigo;Código de la actividad;"Código; no es una magnitud continua";Tabla de actividades;;;;data/raw/SNIG/2025/metadatos/Metadatos/actividades.csv;Documentada en metadatos
SNIG;Actividades;data/processed/SNIG/Catalogos/Actividades.csv;2;ActividadDescripcion;ActividadDescripcion;Descripción de la actividad;Texto descriptivo;Tabla de actividades;;;;data/raw/SNIG/2025/metadatos/Metadatos/actividades.csv;Documentada en metadatos
SNIG;Giros;data/processed/SNIG/Catalogos/Giros.csv;1;GiroCodigo;GiroCodigo;Código del giro;"Código; no es una magnitud continua";Tabla de giros;;;;data/raw/SNIG/2025/metadatos/Metadatos/giros.csv;Documentada en metadatos
SNIG;Giros;data/processed/SNIG/Catalogos/Giros.csv;2;GiroDescripcion;GiroDescripcion;Descripción del giro;Texto descriptivo;Tabla de giros;;;;data/raw/SNIG/2025/metadatos/Metadatos/giros.csv;Documentada en metadatos
SNIG;NaturalezasJuridicas;data/processed/SNIG/Catalogos/NaturalezasJuridicas.csv;1;NaturalezaJuridicaCodigo;NaturalezaJuridicaCodigo;Código de la naturaleza jurídica;"Código; no es una magnitud continua";Tabla de naturalezas jurídicas;;;;data/raw/SNIG/2025/metadatos/Metadatos/naturalezasjuridicas.csv;Documentada en metadatos
SNIG;NaturalezasJuridicas;data/processed/SNIG/Catalogos/NaturalezasJuridicas.csv;2;NaturalezaJuridicaDescripcion;NaturalezaJuridicaDescripcion;Descripción de la naturaleza jurídica;Texto descriptivo;Tabla de naturalezas jurídicas;;;;data/raw/SNIG/2025/metadatos/Metadatos/naturalezasjuridicas.csv;Documentada en metadatos
SNIG;Estratos;data/processed/SNIG/Catalogos/Estratos.csv;1;EstratoCodigo;EstratoCodigo;Código del estrato;"Código; no es una magnitud continua";Tabla de estratos;;;;data/raw/SNIG/2025/metadatos/Metadatos/estratos.csv;Documentada en metadatos
SNIG;Estratos;data/processed/SNIG/Catalogos/Estratos.csv;2;EstratoDescripcion;EstratoDescripcion;Descripción del estrato;Texto descriptivo;Tabla de estratos;;;;data/raw/SNIG/2025/metadatos/Metadatos/estratos.csv;Documentada en metadatos
SNIG;EspecializacionesMGAP;data/processed/SNIG/Catalogos/EspecializacionesMGAP.csv;1;EspecializacionMGAPCodigo;EspecializacionMGAPCodigo;Código de especialización;"Código; no es una magnitud continua";Tabla de especializaciones MGAP;;;;data/raw/SNIG/2025/metadatos/Metadatos/especializacionesMGAP.csv;Documentada en metadatos
SNIG;EspecializacionesMGAP;data/processed/SNIG/Catalogos/EspecializacionesMGAP.csv;2;EspecializacionMGAPDescripcion;EspecializacionMGAPDescripcion;Descripción de la especialización;Texto descriptivo;Tabla de especializaciones MGAP;;;;data/raw/SNIG/2025/metadatos/Metadatos/especializacionesMGAP.csv;Documentada en metadatos
SNIG;TiposProduccionMGAP;data/processed/SNIG/Catalogos/TiposProduccionMGAP.csv;1;TipoProduccionMGAPCodigo;TipoProduccionMGAPCodigo;Código del tipo de producción;"Código; no es una magnitud continua";Tabla de tipos de producción MGAP;;;;data/raw/SNIG/2025/metadatos/Metadatos/tiposproduccionesMGAP.csv;Documentada en metadatos
SNIG;TiposProduccionMGAP;data/processed/SNIG/Catalogos/TiposProduccionMGAP.csv;2;TipoProduccionMGAPDescripcion;TipoProduccionMGAPDescripcion;Descripción del tipo de producción;Texto descriptivo;Tabla de tipos de producción MGAP;;;;data/raw/SNIG/2025/metadatos/Metadatos/tiposproduccionesMGAP.csv;Documentada en metadatos
SNIG;Especies;data/processed/SNIG/Catalogos/Especies.csv;1;EspecieCodigo;EspecieCodigo;Código de la especie;"Código; no es una magnitud continua";Tabla de especies;;;;data/raw/SNIG/2025/metadatos/Metadatos/especies.csv;Documentada en metadatos
